Sector,Project ID,Parent company,Company Country (HQ),Project Status,Destination Country,Destination city,Year Announced,Year Completed,Technology,Industry activity,Capital Investment (US$m),Expansion,Joint Venture,Joint Venture Local,Joint Venture Company,Source (Parent company name and HQ),Source (Project Status),"Source (Project location, country and city)",Source (Amount),"Source (Ownership share, where available)",Source (Date Announced [MM/DD/YYYY]),Source (Date Completed [MM/DD/YYYY]),Source (Industry Activity),Source (Joint Venture),Operational
Solar,HARSOL90,Longi Green Energy Technology (Xi'an LONGI Silicon Materials),China,Completed,Malaysia,Bintulu (Sarawak),2016,2016,Solar,Manufacturing,850,0,0,0,,https://www.longi.com/en/news/6934/,https://www.longi.com/en/news/6934/,https://www.longi.com/en/news/6934/,http://www.zqrb.cn/gscy/gongsi/2023-10-18/A1697632675549.html,,https://www.longi.com/en/news/6934/,https://www.prnewswire.com/news-releases/ferro-expands-photovoltaic-technology-center-capability-in-asia-95964579.html,https://www.longi.com/en/news/6934/,,Operational
Solar,HARSOL110,Runergy,China,Completed,Thailand,Chachoengsao,2020,2020,Solar,Manufacturing,830,0,0,0,,https://www.runergy.com/about-runergy/,https://www.yicaiglobal.com/news/chinas-runergy-halts-solar-panel-cell-production-at-some-of-its-thai-plants-insiders-say,https://www.yicaiglobal.com/news/chinas-runergy-halts-solar-panel-cell-production-at-some-of-its-thai-plants-insiders-say,https://taiyangnews.info/business/20-gw-solar-ingot-wafer-manufacturing-fab-in-saudi-arabia,,https://www.pv-tech.org/saudi-arabia-signs-deals-for-30gw-domestic-solar-pv-manufacturing/,https://www.yicaiglobal.com/news/chinas-runergy-halts-solar-panel-cell-production-at-some-of-its-thai-plants-insiders-say,https://www.yicaiglobal.com/news/chinas-runergy-halts-solar-panel-cell-production-at-some-of-its-thai-plants-insiders-say,,Operational
Solar,CS_US1,Canadian Solar,Canada,Announced,United States,"Jeffersonville, Clark County (Indiana)",2023,N/A,Solar,Manufacturing,800,0,0,0,,https://investors.canadiansolar.com/news-releases/news-release-details/canadian-solar-announces-us-solar-cell-manufacturing-facility,https://www.prnewswire.com/news-releases/canadian-solar-announces-us-solar-cell-manufacturing-facility-in-jeffersonville-indiana-301971058.html,https://iedc.in.gov/events/news/details/2023/10/30/gov-holcomb-announces-canadian-solar-building-new-800m-solar-cell-manufacturing-facility-in-southeast-indiana,https://investors.canadiansolar.com/news-releases/news-release-details/canadian-solar-announces-us-solar-cell-manufacturing-facility,,https://investors.canadiansolar.com/news-releases/news-release-details/canadian-solar-announces-us-solar-cell-manufacturing-facility,https://eepower.com/news/indias-suzlon-energy-setting-up-operations-in-china/ (year only),https://pv-magazine-usa.com/2023/10/30/canadian-solar-to-open-5-gw-solar-cell-factory-in-indiana/,,Announced only
Solar,HARSOL79,Jinko Solar,China,Completed,Vietnam,Bac Giang (Bắc Giang),2022,2023,Solar,Manufacturing,750,0,0,0,,https://www.longi.com/en/,https://www.trinasolar.com/us/news/trina-solar-acquires-solar-cell-factory-netherlands,https://www.trinasolar.com/us/news/trina-solar-acquires-solar-cell-factory-netherlands,https://www.mida.gov.my/media-release/longi-malaysia-breaks-ground-on-its-new-rm1-3-billion-bintulu-samalaju-plant/,https://www.trinasolar.com/us/news/trina-solar-acquires-solar-cell-factory-netherlands,https://www.pv-magazine.com/2016/02/23/trina-solar-acquires-200-mw-dutch-solar-cell-factory-from-solland-solar_100023334/ (year only),https://www.trinasolar.com/us/news/trina-solar-acquires-solar-cell-factory-netherlands (year only),https://www.trinasolar.com/us/news/trina-solar-acquires-solar-cell-factory-netherlands,,Operational
Solar,HARSOL122,Sungrow,China,Completed,Thailand,Chonburi,2019,2022,Solar,Manufacturing,732,0,0,0,,https://thai.sungrowpower.com/,https://renewablesnow.com/news/australias-sundrive-plans-solar-manufacturing-jv-with-trina-solar-871282/,[UNVERIFIED] https://thai.sungrowpower.com/,Investment value not publicly disclosed,,https://renewablesnow.com/news/australias-sundrive-plans-solar-manufacturing-jv-with-trina-solar-871282/,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=8012904&stockid=300274,[UNVERIFIED] https://thai.sungrowpower.com/,,Operational
Solar,FDI205860,GS Solar,China,Completed,Malaysia,Kulim (Kedah),2019,2019,Solar,Manufacturing,732,0,1,0,Panasonic Corporation (Japan; 10% stake retained in new R&D JV; JV Local=0),https://www.pv-magazine.com/2019/05/09/panasonic-transfers-solar-manufacturing-unit-to-gs-solar-and-creates-new-research-jv/,[UNVERIFIED] https://asia.nikkei.com/Business/Business-deals/Panasonic-sells-solar-factory-in-Malaysia-to-new-Chinese-R-D-ally,https://asia.nikkei.com/Business/Business-deals/Panasonic-sells-solar-factory-in-Malaysia-to-new-Chinese-R-D-ally,https://www.pv-tech.org/panasonic-partners-with-gs-solar-on-heterojunction-production-and-rd/,,https://www.pv-magazine.com/2019/05/09/panasonic-transfers-solar-manufacturing-unit-to-gs-solar-and-creates-new-research-jv/,https://asia.nikkei.com/Business/Business-deals/Panasonic-sells-solar-factory-in-Malaysia-to-new-Chinese-R-D-ally,https://www.pv-magazine.com/2019/05/09/panasonic-transfers-solar-manufacturing-unit-to-gs-solar-and-creates-new-research-jv/,https://www.pv-magazine.com/2019/05/09/panasonic-transfers-solar-manufacturing-unit-to-gs-solar-and-creates-new-research-jv/,Operational
Solar,HARSOL10,Astronergy,China,Completed,Turkey,Balıkesir,2025,N/A,Solar,Manufacturing,700,0,1,1,Alfa Solar (phase I),https://www.astronergy.com/,https://renewablesnow.com/news/alfa-solar-astronergy-to-invest-usd-200m-in-turkish-pv-production-jv-1285158/,https://renewablesnow.com/news/alfa-solar-astronergy-to-invest-usd-200m-in-turkish-pv-production-jv-1285158/,https://www.solarbeglobal.com/700-million-investment-astronergy-plans-new-5gw-wafercellmodule-factory-in-turkey/,https://renewablesnow.com/news/alfa-solar-astronergy-to-invest-usd-200m-in-turkish-pv-production-jv-1285158/,https://renewablesnow.com/news/alfa-solar-astronergy-to-invest-usd-200m-in-turkish-pv-production-jv-1285158/,https://dssa.co.id/en/press-release/tmai-inaugurates-indonesias-largest-integrated-solar-panel-factory-ready-to-boost-domestic-renewable-energy-production-1750318016204,https://renewablesnow.com/news/alfa-solar-astronergy-to-invest-usd-200m-in-turkish-pv-production-jv-1285158/,https://renewablesnow.com/news/alfa-solar-astronergy-to-invest-usd-200m-in-turkish-pv-production-jv-1285158/,Operational
Solar,HARSOL31,Drinda,China,Announced,Oman,Sohar Free Zone,2024,N/A,Solar,Manufacturing,700,0,0,0,,https://www.jietaisolar.com/,https://www.yicaiglobal.com/news/chinas-drinda-unveils-plan-to-build-second-high-efficiency-solar-cell-plant-in-oman-in-a-month,https://taiyangnews.info/business/drinda-oman-solar-cell-production,https://www.yicaiglobal.com/news/chinas-drinda-unveils-plan-to-build-second-high-efficiency-solar-cell-plant-in-oman-in-a-month,,https://www.yicaiglobal.com/news/chinas-drinda-unveils-plan-to-build-second-high-efficiency-solar-cell-plant-in-oman-in-a-month,https://www.trinasolar.com/us/news/trina-solar-launches-operations-thailand-manufacturing-facility-and-signs-us143-million (year only),https://www.yicaiglobal.com/news/chinas-drinda-unveils-plan-to-build-second-high-efficiency-solar-cell-plant-in-oman-in-a-month,,Announced only
Solar,Solar90.1,First Solar,United States,Completed,India,"Sriperumbudur, Kancheepuram District (Tamil Nadu)",2021,2024,Solar,Manufacturing,700,0,0,0,,https://investor.firstsolar.com/news/press-release-details/2021/First-Solar-Intends-to-Expand-Global-Manufacturing-Footprint-with-New-3.3-GW-Facility-in-India/default.aspx,https://www.businesswire.com/news/home/20240111067742/en/First-Solar-Inaugurates-3.3-GW-Manufacturing-Facility-in-India,https://www.businesswire.com/news/home/20240111067742/en/First-Solar-Inaugurates-3.3-GW-Manufacturing-Facility-in-India,https://investor.firstsolar.com/news/press-release-details/2021/First-Solar-Intends-to-Expand-Global-Manufacturing-Footprint-with-New-3.3-GW-Facility-in-India/default.aspx,,https://docs.nrel.gov/docs/fy09osti/44620.pdf,https://www.businesswire.com/news/home/20240111067742/en/First-Solar-Inaugurates-3.3-GW-Manufacturing-Facility-in-India,https://www.mortenson.com/projects/vestas-blade-facility-phase-i,,Operational
Solar,HARSOL84,Kibing Solar,China,Announced,Egypt,Ain Sokhna (Suez),2025,N/A,Solar,Manufacturing,685,0,0,0,,https://en.amwalalghad.com/kibing-group-plans-685m-solar-glass-plant-in-egypts-sokhna-sczone-chair/,https://www.agbi.com/manufacturing/2025/07/chinas-kibing-to-build-egypts-largest-solar-panel-factory/,https://en.amwalalghad.com/kibing-group-plans-685m-solar-glass-plant-in-egypts-sokhna-sczone-chair/,https://en.amwalalghad.com/kibing-group-plans-685m-solar-glass-plant-in-egypts-sokhna-sczone-chair/,,https://www.prnewswire.com/news-releases/global-and-china-solar-cell-conductive-paste-industry-report-2011-133793773.html,https://www.prnewswire.com/news-releases/global-and-china-solar-cell-conductive-paste-industry-report-2011-133793773.html,[UNVERIFIED] https://www.prnewswire.com/news-releases/global-and-china-solar-cell-conductive-paste-industry-report-2011-133793773.html,,Announced only
